UUID,Name,CSP,Account ID,Region,Connection,Cost ($/h),CPU capacity,CPU used,Memory capacity (MB),Memory used (MB),Kubernetes version,CloudNatix version,CloudNatix channel
34f0474f-8ee3-4ec9-aa42-f3aa89afec86,laitram-prod-migrate-eks,aws,368698334588,us-west-2,disconnected,1.2783999999999933,32000,703.4567767907117,1.37438953472e+11,3.38664079565308e+10,v1.29.4-eks-036c24b,21.2,stable
3c6cd9f1-22ed-4ca4-9568-56c5e7f89624,lamresearch-dev-eks,aws,422998893730,us-west-1,connected,0.7457333333333346,16000,419.55298905699135,6.8719476736e+10,2.641978031913653e+10,v1.29.4-eks-036c24b,21.2,stable
08531325-5d1e-4f00-b4e3-7f0547f84476,lamresearch-prod-support-eks,aws,422998893730,us-west-1,disconnected,1.1186000000000018,24000,534.8455089569378,1.03079215104e+11,3.3632578404638706e+10,v1.29.4-eks-036c24b,21.2,stable
4d3ff1a4-5576-4835-a2e9-7e91bf8ba4cb,lamresearch-qa-support-eks,aws,422998893730,us-west-1,connected,1.1424000000000019,24000,609.1790804853324,1.03079215104e+11,4.427092079655414e+10,v1.29.4-eks-036c24b,21.2,stable
d2e460cb-b34b-4891-a518-2e4c9b7ffe97,lch-dev-migrate-eks,aws,797382084246,us-east-1,connected,0.6527999999999965,16000,527.7426012287476,6.8719476736e+10,2.221093678147321e+10,v1.29.4-eks-036c24b,21.2,stable
80e43531-d82a-410d-a095-4a5adc5ad2ce,lch-prod-migrate-eks,aws,797382084246,us-east-1,disconnected,0,24000,0,1.03079215104e+11,0,v1.29.4-eks-036c24b,21.2,stable
a8821e2f-d78c-4987-9391-91e62e1a0f40,legionstar-qa-eks,aws,533811351211,us-east-1,connected,1.0319999999999978,24000,3222.3718139805765,1.03079215104e+11,3.0948798825063484e+10,v1.29.4-eks-036c24b,21.2,stable
37fb47d3-bce1-4909-8230-4293615eb8b4,levistrauss-dev-eks,aws,797382084246,us-west-2,connected,1.5360000000000011,32000,980.0412897207365,1.37438953472e+11,2.806849079052999e+10,v1.29.4-eks-036c24b,21.2,stable
400dd059-432b-4787-a258-1feb6dec896c,levistrauss-prod-eks,aws,797382084246,us-west-2,connected,2.2560000000000016,48000,863.9087614022457,2.06158430208e+11,5.070421909822244e+10,v1.29.4-eks-036c24b,21.2,stable
5db97ca5-e698-4cd9-b405-b6852197f266,levistrauss-test-eks,aws,797382084246,us-west-2,connected,1.5360000000000011,32000,793.543891750924,1.37438953472e+11,2.7041051802430264e+10,v1.29.4-eks-036c24b,21.2,stable
973e07de-4b21-4b68-a04b-54020bb94d7c,linfox-dev-eks,aws,442049251927,ap-southeast-2,connected,0.8160000000000003,0,0,0,0,v1.29.4-eks-036c24b,21.2,stable
98b01d9f-d169-4448-b06a-8bbad44f88e4,lixil-dev-eks,aws,797382084246,eu-central-1,connected,0.7819999999999975,16000,629.4876380136445,6.8719476736e+10,2.0665170082831497e+10,v1.29.4-eks-036c24b,21.2,stable
143fcdf0-da30-4658-8f9b-eccad5114288,lixil-prod-eks,aws,797382084246,eu-central-1,connected,1.3800000000000094,24000,1062.949061736822,1.03079215104e+11,3.875927925657704e+10,v1.29.4-eks-036c24b,21.2,stable
24bf027c-1780-4511-9c33-58210f5d5ab1,lixil-sandbox-eks,aws,797382084246,eu-central-1,connected,1.8400000000000027,32000,1058.82433492655,1.37438953472e+11,2.6607331405453835e+10,v1.29.4-eks-036c24b,21.2,stable
fba95f09-73b0-4d96-bb2a-fc244b76c104,lixil-test-eks,aws,797382084246,eu-central-1,connected,1.8400000000000027,32000,930.7494327622402,1.37438953472e+11,3.376460639149791e+10,v1.29.4-eks-036c24b,21.2,stable
e134910f-d6de-4477-9dc1-addc83f95b3a,lloydsbank-dev-eks,aws,797382084246,eu-west-1,connected,1.7119999999999935,32000,2284.6820631030073,1.37438953472e+11,3.869215389402017e+10,v1.29.4-eks-036c24b,21.2,stable
5d2cffeb-e33a-4781-a1ec-7ed9cb52f2eb,lloydsbank-prod-eks,aws,797382084246,eu-west-1,connected,3.423999999999992,64000,1079.5423502039787,2.74877906944e+11,8.166452734278217e+10,v1.29.4-eks-036c24b,21.2,stable
8b1da8f8-6875-4cd3-8e9d-5bef72f99b7f,lloydsbank-prod-support-eks,aws,797382084246,eu-central-1,disconnected,0,0,0,0,0,v1.29.4-eks-036c24b,21.2,stable
e3313518-baeb-4e32-bb07-74a62f9c6d8e,lloydsbank-test-support-eks,aws,797382084246,eu-west-1,connected,0.8559999999999968,16000,925.2220470862549,6.8719476736e+10,2.5360468448379383e+10,v1.29.4-eks-036c24b,21.2,stable
441c42df-2f1c-44d7-853d-ca55426a28bc,lotus-dev-migrate-eks,aws,368698334588,ap-southeast-1,connected,0.7680000000000006,16000,742.5570789527957,6.8719476736e+10,3.3795818782253304e+10,v1.29.4-eks-036c24b,21.2,stable
6fd66422-adaf-4a34-b6ec-8f5963f9a1cc,lotuss-prod-migrate-eks,aws,368698334588,ap-southeast-1,connected,2.4480000000000173,48000,1430.689439395732,2.06158430208e+11,8.753708129799768e+10,v1.29.4-eks-036c24b,21.2,stable
6f25a780-c1c1-4728-82e1-1bc09df12b33,lsgairline-dev-eks,aws,422998893730,eu-west-1,connected,0.7276000000000004,16000,393.5149909432489,6.8719476736e+10,2.231841298935774e+10,v1.29.4-eks-036c24b,21.2,stable
6ef0ba39-964f-4d5f-8f25-dc7fee34e7e9,lsgairline-prod-eks,aws,422998893730,eu-west-1,connected,1.091399999999991,24000,492.1605648737332,1.03079215104e+11,2.9826183211418285e+10,v1.29.4-eks-036c24b,21.2,stable
e68cc74a-0a04-4dc4-a95b-0c7f80792b4c,macnica-dev-eks,aws,442049251927,ap-northeast-1,connected,1.2647999999999886,24000,686.8454533553207,1.03079215104e+11,3.9062994943423454e+10,v1.29.4-eks-036c24b,21.2,stable
f7611ccc-cdc8-43e9-a641-fcf8da2a3ad2,macnica-partner-support-eks,aws,533811351211,ap-northeast-2,connected,0.9440000000000023,16000,573.0616664413152,6.8719476736e+10,3.451396833112978e+10,v1.29.4-eks-036c24b,21.2,stable
5b635bcb-c46a-4c38-b881-f67756aa5e0e,macnica-prod-eks,aws,442049251927,ap-northeast-1,connected,0.7920000000000011,16000,1035.0574040631147,6.8719476736e+10,4.768741227987878e+10,v1.29.4-eks-036c24b,21.2,stable
430fefe4-1411-4c23-a86d-59ff724b62ea,mangroup-nonprod-eks,aws,797382084246,eu-west-1,connected,0.7276000000000004,16000,779.261478964378,6.8719476736e+10,3.2786114080256844e+10,v1.29.4-eks-036c24b,21.2,stable
4a3d5af8-2f97-4388-ab14-ca1288868de9,mangroup-prod-support-eks,aws,797382084246,eu-west-1,connected,1.8190000000000006,40000,837.3367222034909,1.7179869184e+11,7.06719554122136e+10,v1.29.4-eks-036c24b,21.2,stable
70633800-ec40-44bc-a832-31dcf6e8ce53,mapj-poc-support-eks,aws,533811351211,ap-southeast-1,connected,0.9599999999999942,16000,1033.6526768902738,6.8719476736e+10,2.9571016140848583e+10,v1.29.4-eks-036c24b,21.2,stable
40e4e74a-2ed4-4576-a5bc-bd4e7c22a554,marathon-prod-eks,aws,422998893730,us-east-1,connected,0,0,0,0,0,v1.29.4-eks-036c24b,21.2,stable
3d6c78c1-8abd-46dc-b36f-d53fac38992f,marathon-qa-eks,aws,422998893730,us-east-1,connected,1.305599999999993,32000,597.1319153896445,1.37438953472e+11,3.346370158832289e+10,v1.29.4-eks-036c24b,21.2,stable
c4af656c-f385-4b0b-963f-73beda92cb80,marriott-dev1-EKScluster,aws,368698334588,us-east-1,disconnected,0,0,0,0,0,,21.2,stable
bf425947-9bc2-4d42-a87d-93bbedce7a65,marriott-sandbox-eks,aws,368698334588,us-east-1,connected,0.6527999999999965,16000,671.8965618762107,6.8719476736e+10,2.6200147416449177e+10,v1.29.4-eks-036c24b,21.2,stable
8b11206b-c3f7-449a-87da-f408ea965757,mascomwireless-dev-eks,aws,797382084246,af-south-1,connected,0.8127999999999967,16000,684.2554205426809,6.8719476736e+10,2.368780974218943e+10,v1.29.4-eks-036c24b,21.2,stable
f06b743c-4d98-4b27-9c41-1d3cf15bb1c8,mascomwireless-prod-eks,aws,797382084246,af-south-1,connected,3.0479999999999983,48000,901.1883857831451,2.06158430208e+11,3.1721497079841988e+10,v1.29.4-eks-036c24b,21.2,stable
